book_name,flipkart_link,amazon_link
Atomic Habits,https://www.flipkart.com/atomic-habits-easy-proven-way-build-good-break-bad/p/itmfcyurt9pfakjh?pid=9781847941831,https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834
Seven Days in June,https://www.flipkart.com/seven-days-june/p/itm19e179a8659f9,https://www.amazon.in/Seven-Days-June-Tia-Williams/dp/1529418933
The ocean at the end of the lane,https://www.flipkart.com/ocean-end-lane/p/itmfbydp53r3rsv8,https://www.amazon.in/OCEAN-AT-END-LANE/dp/1472200349
The House across the lake,https://www.flipkart.com/house-across-lake/p/itm056aa2267567e,https://www.amazon.in/HOUSE-ACROSS-LAKE-Riley-Sager/dp/1399700596
Project Hail Mary,https://www.flipkart.com/project-hail-mary/p/itm5ebf3f4ae8087,https://www.amazon.in/Project-Hail-Mary-bestselling-Martian/dp/1529157463
